random_seed,kernel_size,stride,n_filters,crop,max_prob,n_train,inhib,time,timestep,theta_plus,theta_decay,intensity,norm,progress_interval,update_interval,mean_all_activity,mean_proportion_weighting,mean_ngram,max_all_activity,max_proportion_weighting,max_ngram
0,12,4,144,4,0.75,60000,500.0,100,1.0,0.05,1e-07,0.5,0.2,10,250,61.89833,63.391666,71.75667,77.600006,78.4,81.6
0,12,2,49,4,0.75,60000,500.0,100,1.0,0.05,1e-07,0.5,0.2,10,250,48.47167,49.285,54.13667,60.8,64.8,73.6
0,16,4,144,4,0.75,60000,500.0,100,1.0,0.05,1e-07,0.5,0.2,10,250,53.065002,55.46167,69.746666,76.0,77.600006,82.4
0,14,2,100,4,0.75,60000,500.0,75,1.0,0.05,1e-07,0.5,0.2,10,250,64.814995,64.64167,69.618324,81.6,80.4,85.6
0,12,4,144,4,0.5,60000,500.0,100,1.0,0.05,1e-07,0.5,0.2,10,250,72.32333,73.53333,79.23167,85.2,84.0,87.6
0,16,2,144,4,1.0,60000,500.0,75,1.0,0.05,1e-07,0.5,0.2,10,250,59.364998,60.34,70.0,71.6,72.0,83.600006
0,14,2,100,4,1.0,60000,500.0,75,1.0,0.05,1e-07,0.5,0.2,10,250,53.82,55.28833,60.053337,70.8,68.0,79.2
0,12,4,144,4,1.0,60000,500.0,100,1.0,0.05,1e-07,0.5,0.2,10,250,51.154995,52.60667,63.04667,67.6,70.0,79.6
0,16,2,144,4,0.5,60000,500.0,100,1.0,0.05,1e-07,0.5,0.2,10,250,74.60166,74.979996,80.32,84.4,84.799995,92.799995
0,12,2,144,4,0.75,60000,500.0,25,1.0,0.05,1e-07,0.5,0.2,10,250,69.845,70.67834,70.78167,88.4,90.0,88.8
0,16,4,144,4,0.5,60000,500.0,100,1.0,0.05,1e-07,0.5,0.2,10,250,67.28333,69.01667,77.905,82.4,83.200005,88.8
0,14,2,144,4,0.5,60000,500.0,50,1.0,0.05,1e-07,0.5,0.2,10,250,79.07666,79.29333,80.704994,91.6,90.4,93.6
0,16,2,144,4,1.0,60000,500.0,100,1.0,0.05,1e-07,0.5,0.2,10,250,50.54167,51.903336,66.35166,68.4,70.0,81.6
0,16,2,144,4,0.75,60000,500.0,100,1.0,0.05,1e-07,0.5,0.2,10,250,60.93,61.22333,73.659996,78.4,76.8,85.2
0,12,2,49,4,1.0,60000,500.0,100,1.0,0.05,1e-07,0.5,0.2,10,250,35.56,38.691666,42.631664,50.4,52.0,58.0
0,14,2,100,4,0.5,60000,500.0,100,1.0,0.05,1e-07,0.5,0.2,10,250,70.61667,70.03166,75.85833,82.0,81.2,91.6
0,12,2,100,4,0.5,60000,500.0,50,1.0,0.05,1e-07,0.5,0.2,10,250,76.18166,76.596664,77.525,92.4,90.4,93.6
0,14,2,100,4,0.75,60000,500.0,100,1.0,0.05,1e-07,0.5,0.2,10,250,57.093334,57.498333,65.78333,69.6,71.6,82.8
