seed,n_train,time,lr,lr_decay,update_interval,max_prob,mean_accuracy,max_accuracy
0,60000,100,0.01,1.0,500,1.0,16.711666,21.0
0,60000,100,0.005,0.99,500,1.0,43.773335,59.600002
0,60000,100,0.001,0.9,500,1.0,80.63333,90.0
0,60000,100,0.005,0.95,500,1.0,70.85833,89.0
1,60000,100,0.01,1.0,500,1.0,17.005,22.0
1,60000,100,0.005,0.95,500,1.0,70.971664,86.2
1,60000,100,0.01,0.9,500,1.0,73.68,87.0
2,60000,100,0.001,0.9,500,1.0,80.808334,88.200005
1,60000,100,0.01,0.99,500,1.0,27.988335,50.0
3,60000,100,0.005,0.95,500,1.0,70.82166,87.6
3,60000,100,0.01,0.95,500,1.0,64.066666,87.4
3,60000,100,0.01,1.0,500,1.0,16.375,20.0
2,60000,100,0.01,1.0,500,1.0,16.835001,21.8
3,60000,100,0.01,0.9,500,1.0,73.44333,86.4
0,60000,100,0.001,0.99,500,1.0,71.933334,80.6
1,60000,100,0.005,0.99,500,1.0,44.03667,63.4
2,60000,100,0.005,0.95,500,1.0,71.04333,86.4
3,60000,100,0.01,0.99,500,1.0,27.45,44.4
2,60000,100,0.005,0.99,500,1.0,44.081665,62.0
0,60000,100,0.005,1.0,500,1.0,28.681667,35.8
0,60000,100,0.01,0.9,500,1.0,73.39001,89.200005
3,60000,100,0.005,1.0,500,1.0,28.493334,34.2
2,60000,100,0.01,0.9,500,1.0,73.77333,87.4
3,60000,100,0.005,0.9,500,1.0,76.55,86.0
3,60000,100,0.005,0.99,500,1.0,43.705,60.399998
2,60000,100,0.001,0.95,500,1.0,79.56833,87.8
2,60000,100,0.001,0.99,500,1.0,71.925,80.4
3,60000,100,0.001,0.95,500,1.0,79.625,87.2
2,60000,100,0.01,0.95,500,1.0,64.34167,86.6
0,60000,100,0.001,0.95,500,1.0,79.61833,87.8
0,60000,100,0.01,0.95,500,1.0,64.05,87.8
2,60000,100,0.005,1.0,500,1.0,28.773335,35.4
2,60000,100,0.001,1.0,500,1.0,65.24833,70.4
3,60000,100,0.001,0.99,500,1.0,71.81834,80.6
3,60000,100,0.001,1.0,500,1.0,65.43166,70.200005
1,60000,100,0.005,1.0,500,1.0,28.691668,34.2
2,60000,100,0.005,0.9,500,1.0,76.88833,87.2
4,60000,100,0.005,0.95,500,1.0,71.079994,87.6
4,60000,100,0.001,1.0,500,1.0,65.205,71.8
4,60000,100,0.01,0.9,500,1.0,73.471664,87.4
1,60000,100,0.001,0.99,500,1.0,71.72,81.0
4,60000,100,0.01,0.99,500,1.0,27.68,45.2
4,60000,100,0.01,1.0,500,1.0,16.63,21.8
4,60000,100,0.01,0.95,500,1.0,64.276665,86.799995
4,60000,100,0.005,0.9,500,1.0,76.73501,87.8
3,60000,100,0.001,0.9,500,1.0,80.52333,86.2
4,60000,100,0.005,1.0,500,1.0,28.638332,36.399998
4,60000,100,0.005,0.99,500,1.0,44.003338,60.8
4,60000,100,0.001,0.9,500,1.0,80.78666,87.0
4,60000,100,0.001,0.99,500,1.0,71.78333,80.4
1,60000,100,0.01,0.95,500,1.0,64.011665,85.2
4,60000,100,0.001,0.95,500,1.0,79.76167,88.0
0,60000,100,0.001,1.0,500,1.0,65.435005,70.6
0,60000,100,0.01,0.99,500,1.0,27.668335,44.4
2,60000,100,0.01,0.99,500,1.0,27.688334,43.399998
0,60000,10,0.001,0.91,500,1.0,74.71,80.6
0,60000,10,0.001,0.93,500,1.0,75.454994,81.4
0,60000,10,0.001,0.92,500,1.0,75.0,81.0
0,60000,10,0.001,0.94,500,1.0,75.81167,81.8
0,60000,10,0.001,0.95,500,1.0,76.21333,82.6
0,60000,10,0.001,0.96,500,1.0,76.558334,83.4
0,60000,10,0.001,0.97,500,1.0,76.68166,83.4
0,60000,10,0.001,0.98,500,1.0,76.695,84.0
0,60000,10,0.0025,0.92,500,1.0,78.86,86.0
.2
0,60000,10,0.0025,0.93,500,1.0,78.90166,85.399994
0,60000,10,0.0025,0.94,500,1.0,78.95334,86.2
0,60000,10,0.0025,0.95,500,1.0,79.083336,86.0
0,60000,10,0.0025,0.96,500,1.0,79.14167,86.0
0,60000,10,0.0025,0.97,500,1.0,78.76167,85.2
0,60000,10,0.0025,0.98,500,1.0,78.22,85.0
0,60000,10,0.005,0.91,500,1.0,80.310005,87.6
0,60000,10,0.005,0.92,500,1.0,80.275,88.200005
0,60000,10,0.005,0.93,500,1.0,80.479996,88.8
0,60000,10,0.005,0.94,500,1.0,80.34167,88.6
0,60000,10,0.005,0.95,500,1.0,80.05667,88.200005
0,60000,10,0.005,0.96,500,1.0,79.82333,88.0
0,60000,10,0.005,0.97,500,1.0,79.25333,87.4
0,60000,10,0.005,0.98,500,1.0,78.05166,87.0
0,60000,10,0.0075,0.92,500,1.0,80.759995,87.8
0,60000,10,0.0075,0.91,500,1.0,80.85167,88.6
0,60000,10,0.0075,0.93,500,1.0,80.57333,88.0
0,60000,10,0.0075,0.94,500,1.0,80.595,88.6
0,60000,10,0.0075,0.95,500,1.0,80.23167,88.8
0,60000,10,0.0075,0.96,500,1.0,79.651665,88.6
0,60000,10,0.0075,0.97,500,1.0,78.810005,87.6
0,60000,10,0.0075,0.98,500,1.0,77.21834,86.799995
0,60000,10,0.01,0.91,500,1.0,80.96,89.4
0,60000,10,0.01,0.92,500,1.0,80.72666,89.4
0,60000,10,0.01,0.93,500,1.0,80.58167,88.4
0,60000,10,0.01,0.95,500,1.0,79.729996,88.8
0,60000,10,0.01,0.94,500,1.0,80.24167,88.6
0,60000,10,0.01,0.96,500,1.0,79.308334,88.6
0,60000,10,0.01,0.97,500,1.0,78.005,87.2
0,60000,10,0.01,0.98,500,1.0,75.996666,86.4
0,60000,25,0.001,0.91,500,1.0,78.575,85.399994
0,60000,25,0.001,0.92,500,1.0,78.721664,85.2
0,60000,25,0.001,0.93,500,1.0,78.83667,85.6
0,60000,25,0.001,0.94,500,1.0,78.92834,86.0
0,60000,25,0.001,0.96,500,1.0,78.82,86.799995
0,60000,25,0.001,0.98,500,1.0,77.901665,84.4
0,60000,25,0.0025,0.91,500,1.0,80.38833,88.8
0,60000,25,0.0025,0.92,500,1.0,80.53001,88.0
0,60000,25,0.0025,0.93,500,1.0,80.479996,89.4
0,60000,25,0.001,0.95,500,1.0,78.854996,85.399994
0,60000,25,0.001,0.97,500,1.0,78.64666,84.6
0,60000,25,0.0025,0.95,500,1.0,79.945,87.8
0,60000,25,0.0025,0.94,500,1.0,80.20667,87.8
0,60000,25,0.0025,0.96,500,1.0,79.59167,87.8
0,60000,25,0.0025,0.97,500,1.0,78.831665,86.799995
0,60000,25,0.0025,0.98,500,1.0,77.54833,84.799995
0,60000,25,0.005,0.91,500,1.0,80.57834,89.200005
0,60000,25,0.005,0.92,500,1.0,80.526665,88.6
0,60000,25,0.005,0.93,500,1.0,80.14666,89.200005
0,60000,25,0.005,0.94,500,1.0,79.86,88.4
0,60000,25,0.005,0.97,500,1.0,77.0,86.2
0,60000,25,0.005,0.95,500,1.0,79.32334,88.4
0,60000,25,0.005,0.96,500,1.0,78.375,88.8
0,60000,25,0.0075,0.91,500,1.0,79.893326,88.6
0,60000,25,0.005,0.98,500,1.0,74.30334,84.799995
0,60000,25,0.0075,0.93,500,1.0,79.153336,88.6
0,60000,25,0.0075,0.92,500,1.0,79.63167,89.4
0,60000,25,0.0075,0.95,500,1.0,77.81333,89.4
0,60000,25,0.0075,0.96,500,1.0,76.56333,87.0
0,60000,25,0.0075,0.94,500,1.0,78.65166,88.8
0,60000,25,0.01,0.92,500,1.0,78.65833,88.6
0,60000,25,0.01,0.91,500,1.0,79.041664,89.4
0,60000,25,0.01,0.93,500,1.0,78.245,88.4
0,60000,25,0.01,0.94,500,1.0,77.520004,89.200005
0,60000,25,0.0075,0.98,500,1.0,70.840004,81.6
0,60000,25,0.01,0.96,500,1.0,74.795006,87.8
0,60000,25,0.0075,0.97,500,1.0,74.44666,88.200005
0,60000,25,0.01,0.95,500,1.0,76.20333,87.8
0,60000,25,0.01,0.97,500,1.0,71.84,84.6
0,60000,25,0.01,0.98,500,1.0,67.45333,80.8
1,60000,10,0.001,0.91,500,1.0,75.30667,81.0
1,60000,10,0.001,0.92,500,1.0,75.54833,81.2
1,60000,10,0.001,0.93,500,1.0,75.871666,82.4
1,60000,10,0.001,0.94,500,1.0,76.175,83.0
1,60000,10,0.001,0.95,500,1.0,76.454994,83.8
1,60000,10,0.001,0.96,500,1.0,76.78834,83.200005
1,60000,10,0.001,0.97,500,1.0,76.87334,82.4
1,60000,10,0.001,0.98,500,1.0,76.81167,83.4
1,60000,10,0.0025,0.91,500,1.0,79.07166,84.6
1,60000,10,0.0025,0.92,500,1.0,79.08667,84.799995
1,60000,10,0.0025,0.93,500,1.0,79.24333,85.2
1,60000,10,0.0025,0.95,500,1.0,79.191666,86.4
1,60000,10,0.0025,0.98,500,1.0,78.04833,85.0
1,60000,10,0.0025,0.96,500,1.0,79.155,85.6
1,60000,10,0.0025,0.97,500,1.0,78.831665,85.2
1,60000,10,0.005,0.92,500,1.0,80.596664,86.2
1,60000,10,0.0025,0.94,500,1.0,79.30667,85.399994
1,60000,10,0.005,0.93,500,1.0,80.45334,86.2
1,60000,10,0.005,0.96,500,1.0,79.810005,86.0
1,60000,10,0.005,0.94,500,1.0,80.29834,87.4
1,60000,10,0.005,0.97,500,1.0,79.12666,86.4
1,60000,10,0.005,0.95,500,1.0,80.21166,87.4
1,60000,10,0.005,0.98,500,1.0,78.22,85.2
1,60000,10,0.0075,0.91,500,1.0,81.02333,87.0
1,60000,10,0.0075,0.92,500,1.0,80.920006,86.799995
1,60000,10,0.005,0.91,500,1.0,80.51833,86.2
