random_seed,kernel_size,stride,n_filters,n_train,inhib,time,timestep,theta_plus,theta_decay,intensity,progress_interval,update_interval,mean_all_activity,mean_proportion_weighting,max_all_activity,max_proportion_weighting
5,16,2,9,60000,300.0,250,1.0,0.05,1e-07,0.45,10,250,62.65833333333333,61.72083333333333,76,73
5,12,4,36,60000,500.0,250,1.0,0.05,1e-07,0.45,10,250,76.65,77.30833333333334,92,93
4,16,2,9,60000,100.0,250,1.0,0.05,1e-07,0.45,10,250,50.32083333333333,47.63333333333333,63,59
5,16,2,16,60000,300.0,250,1.0,0.05,1e-07,0.45,10,250,67.55,66.64583333333333,81,82
5,8,4,16,60000,100.0,250,1.0,0.05,1e-07,0.45,10,250,64.0875,64.6375,79,78
1,8,2,9,60000,100.0,250,1.0,0.05,1e-07,0.45,10,250,60.520833333333336,59.5375,72,72
5,8,4,16,60000,500.0,250,1.0,0.05,1e-07,0.45,10,250,65.5,66.30833333333334,81,80
1,12,2,16,60000,100.0,250,1.0,0.05,1e-07,0.45,10,250,61.94166666666667,60.291666666666664,76,76
4,8,4,36,60000,300.0,250,1.0,0.05,1e-07,0.45,10,250,71.35833333333333,73.20416666666667,90,92
3,16,2,25,60000,100.0,250,1.0,0.05,1e-07,0.45,10,250,65.00833333333334,62.9125,76,76
4,8,4,36,60000,500.0,250,1.0,0.05,1e-07,0.45,10,250,71.04583333333333,73.0875,88,91
3,12,2,16,60000,100.0,250,1.0,0.05,1e-07,0.45,10,250,62.458333333333336,60.72083333333333,78,76
5,16,4,25,60000,500.0,250,1.0,0.05,1e-07,0.45,10,250,74.51666666666667,74.775,91,90
4,12,2,16,60000,300.0,250,1.0,0.05,1e-07,0.45,10,250,69.20416666666667,68.6125,83,82
2,16,2,36,60000,300.0,250,1.0,0.05,1e-07,0.45,10,250,74.85833333333333,74.15833333333333,89,88
5,12,4,36,60000,100.0,250,1.0,0.05,1e-07,0.45,10,250,75.17083333333333,75.79583333333333,90,91
3,16,2,25,60000,500.0,250,1.0,0.05,1e-07,0.45,10,250,72.42083333333333,71.96666666666667,86,84
5,16,4,36,60000,300.0,250,1.0,0.05,1e-07,0.45,10,250,76.55416666666666,76.57916666666667,92,89
4,16,2,16,60000,100.0,250,1.0,0.05,1e-07,0.45,10,250,58.333333333333336,54.78333333333333,72,71
5,8,4,25,60000,300.0,250,1.0,0.05,1e-07,0.45,10,250,69.6125,71.10833333333333,84,86
5,12,4,36,60000,300.0,250,1.0,0.05,1e-07,0.45,10,250,76.19583333333334,76.91666666666667,88,88
4,8,2,9,60000,300.0,250,1.0,0.05,1e-07,0.45,10,250,61.5375,60.25,73,74
5,16,2,16,60000,500.0,250,1.0,0.05,1e-07,0.45,10,250,67.61666666666666,66.79166666666667,83,79
