seed,n_train,kernel_size,stride,n_filters,padding,inhib,time,dt,intensity,update_interval,mean_all_activity,mean_proportion_weighting,mean_ngram,max_all_activity,max_proportion_weighting,max_ngram
1,60000,4,4,25,0,100.0,250,1.0,0.5,250,17.581667,18.238335,32.745,27.599998,28.0,46.8
1,60000,16,2,49,0,100.0,100,1.0,0.5,250,10.225,10.273334,11.179999,17.6,18.0,16.8
1,60000,4,4,81,0,100.0,50,1.0,0.5,250,12.833333,12.928332,11.461667,19.6,19.6,16.8
1,60000,12,2,36,0,100.0,100,1.0,0.5,250,10.593334,10.646667,12.014999,16.8,17.2,18.0
1,60000,8,4,36,0,100.0,250,1.0,0.5,250,9.865001,9.888334,11.698334,14.8,16.0,19.2
1,60000,12,4,9,0,100.0,250,1.0,0.5,250,9.748334,9.809999,10.258333,14.8,14.8,15.6
1,60000,12,4,36,0,100.0,250,1.0,0.5,250,9.88,9.883333,10.8933325,15.6,15.2,17.6
1,60000,4,4,64,0,100.0,100,1.0,0.5,250,14.366667,14.440001,13.52,20.800001,21.199999,20.4
1,60000,10,2,49,0,100.0,50,1.0,0.5,250,10.566667,11.326666,10.930001,16.0,16.4,16.4
1,60000,8,2,25,0,100.0,100,1.0,0.5,250,32.114998,33.726665,25.731665,42.8,48.8,39.2
1,60000,4,2,36,0,100.0,25,1.0,0.5,250,14.1883335,14.323334,11.39,21.6,21.199999,17.2
1,60000,14,2,49,0,100.0,100,1.0,0.5,250,10.258334,10.275,11.426666,16.0,16.0,18.4
1,60000,12,4,49,0,100.0,250,1.0,0.5,250,9.62,9.585,11.273334,15.6,15.2,17.2
1,60000,8,4,25,0,100.0,250,1.0,0.5,250,13.933333,14.826666,24.051666,22.0,23.199999,38.0
1,60000,12,4,16,0,100.0,250,1.0,0.5,250,9.693333,9.723333,10.848333,14.0,14.0,15.2
1,60000,4,4,36,0,100.0,250,1.0,0.5,250,9.918333,10.006667,15.514999,14.0,14.4,24.4
1,60000,16,4,100,0,100.0,100,1.0,0.5,250,26.385,28.476665,24.041666,42.399998,45.6,41.2
1,60000,8,4,49,0,100.0,250,1.0,0.5,250,9.441667,9.456667,11.923334,15.6,15.2,18.4
1,60000,8,2,9,0,100.0,250,1.0,0.5,250,9.661667,9.681667,11.063334,14.8,14.8,16.0
1,60000,6,2,9,0,100.0,250,1.0,0.5,250,9.791667,9.798334,11.006667,16.8,16.8,16.8
1,60000,14,2,100,0,100.0,25,1.0,0.5,250,28.9,31.44,18.558332,42.399998,44.0,28.400002
1,60000,16,2,100,0,100.0,50,1.0,0.5,250,27.236666,28.978333,20.595001,46.399998,48.8,38.4
1,60000,8,4,100,0,100.0,100,1.0,0.5,250,42.456665,45.091667,41.126667,56.0,58.0,60.399998
1,60000,12,4,25,0,100.0,250,1.0,0.5,250,14.428333,15.153334,20.291666,22.400002,23.6,28.0
1,60000,10,2,36,0,100.0,100,1.0,0.5,250,10.546667,10.881667,12.826666,16.0,16.4,22.0
1,60000,6,2,25,0,100.0,100,1.0,0.5,250,26.42,27.673332,23.610003,36.8,38.800003,33.6
1,60000,4,4,100,0,100.0,50,1.0,0.5,250,46.921673,49.015,41.855,60.000004,62.0,55.6
1,60000,12,4,64,0,100.0,250,1.0,0.5,250,9.775,9.761667,11.113333,16.4,16.0,16.0
1,60000,8,2,64,0,100.0,25,1.0,0.5,250,12.655001,12.8933325,10.925,18.4,20.0,15.6
1,60000,16,2,64,0,100.0,100,1.0,0.5,250,11.008333,11.168333,11.505,15.2,15.6,16.8
1,60000,8,2,49,0,100.0,50,1.0,0.5,250,11.358334,11.490001,10.578334,18.0,19.6,17.6
1,60000,16,4,16,0,100.0,250,1.0,0.5,250,9.876666,9.8966675,10.830001,14.8,15.2,16.0
1,60000,10,2,9,0,100.0,250,1.0,0.5,250,9.75,9.738333,10.826667,16.0,16.0,16.4
1,60000,10,2,64,0,100.0,50,1.0,0.5,250,10.705001,11.468333,10.761666,16.4,17.6,15.6
1,60000,14,2,9,0,100.0,250,1.0,0.5,250,9.736667,9.79,10.295,16.0,16.4,15.6
1,60000,10,2,81,0,100.0,25,1.0,0.5,250,11.793333,13.028334,10.685,19.6,20.0,14.8
1,60000,14,2,64,0,100.0,100,1.0,0.5,250,10.778334,10.828334,12.173333,16.0,15.6,18.8
1,60000,14,2,100,0,100.0,50,1.0,0.5,250,32.05,34.183334,22.693335,43.6,46.0,36.8
1,60000,12,2,49,0,100.0,100,1.0,0.5,250,10.071667,10.030001,11.673334,16.8,15.6,17.6
1,60000,4,4,49,0,100.0,250,1.0,0.5,250,9.594999,9.66,12.6,17.2,17.2,20.4
1,60000,12,2,16,0,100.0,250,1.0,0.5,250,10.021667,9.993334,10.953334,17.6,16.8,17.2
1,60000,12,2,9,0,100.0,250,1.0,0.5,250,9.934999,9.908334,10.566667,14.4,14.4,16.0
1,60000,16,4,9,0,100.0,250,1.0,0.5,250,9.858334,9.826666,10.513334,14.4,14.4,17.6
1,60000,12,4,81,0,100.0,250,1.0,0.5,250,9.741667,9.748334,11.028335,14.8,14.4,16.0
1,60000,4,4,81,0,100.0,100,1.0,0.5,250,11.373334,11.511666,11.401667,22.0,21.199999,16.4
1,60000,16,2,16,0,100.0,250,1.0,0.5,250,9.845,9.809999,10.675,16.0,15.6,16.4
1,60000,8,2,36,0,100.0,100,1.0,0.5,250,12.095,12.186666,12.27,18.4,18.0,17.6
1,60000,6,2,64,0,100.0,25,1.0,0.5,250,15.158334,15.683333,10.821667,22.8,26.4,17.2
1,60000,16,4,49,0,100.0,250,1.0,0.5,250,9.853333,9.833333,10.741667,16.0,15.6,17.6
1,60000,6,2,49,0,100.0,50,1.0,0.5,250,11.778334,11.825,10.868334,18.0,17.2,18.0
1,60000,16,4,64,0,100.0,250,1.0,0.5,250,9.786667,9.809999,11.298334,14.4,14.0,18.4
1,60000,16,4,25,0,100.0,250,1.0,0.5,250,10.52,10.535001,13.026667,16.0,16.0,20.0
1,60000,8,2,16,0,100.0,250,1.0,0.5,250,9.985,9.996668,11.411666,15.6,15.2,16.8
1,60000,12,2,25,0,100.0,250,1.0,0.5,250,17.726665,18.293335,19.528332,24.8,26.800001,36.0
1,60000,8,4,16,0,100.0,250,1.0,0.5,250,9.906666,9.91,11.106666,16.0,16.0,16.0
1,60000,4,2,25,0,100.0,100,1.0,0.5,250,38.336666,39.01166,33.343334,52.8,52.399998,53.2
1,60000,16,2,9,0,100.0,250,1.0,0.5,250,9.735001,9.743333,10.725,16.8,16.8,16.4
1,60000,16,4,36,0,100.0,250,1.0,0.5,250,9.8566675,9.858334,10.451666,14.8,14.8,16.0
1,60000,16,2,81,0,100.0,100,1.0,0.5,250,10.121668,10.125,11.095,14.8,15.6,18.4
1,60000,4,2,36,0,100.0,50,1.0,0.5,250,15.928332,16.43,12.618334,25.2,25.2,18.0
1,60000,14,2,25,0,100.0,250,1.0,0.5,250,12.163334,12.378332,14.423334,18.0,18.8,23.6
1,60000,14,2,16,0,100.0,250,1.0,0.5,250,9.718334,9.72,10.669999,16.0,16.0,15.2
1,60000,8,4,64,0,100.0,250,1.0,0.5,250,9.861668,9.823334,11.551666,15.2,15.6,18.4
1,60000,12,2,81,0,100.0,50,1.0,0.5,250,10.866667,10.9800005,11.155,18.0,18.0,16.8
