random_seed,n_neurons,n_train,inhib,time,timestep,theta_plus,theta_decay,norm,intensity,progress_interval,update_interval,mean_all_activity,mean_proportion_weighting,mean_ngram,max_all_activity,max_proportion_weighting,max_ngram
1,300,16000,100.0,250,1.0,10.0,1e-05,50.0,0.5,10,100,56.625,56.85625,57.725,72.0,75.0,73.0
1,300,16000,100.0,250,1.0,10.0,1e-05,37.5,0.5,10,100,57.48125,57.98125,58.175,72.0,70.0,71.0
1,300,16000,100.0,250,1.0,10.0,0.001,87.5,0.5,10,100,54.18125,54.0875,53.14375,67.0,67.0,66.0
1,300,16000,100.0,250,1.0,5.0,0.0001,50.0,0.5,10,100,52.69375,53.00625,54.25,71.0,71.0,64.0
1,300,16000,100.0,250,1.0,10.0,0.0001,87.5,0.5,10,100,55.66875,55.8125,55.35625,72.0,71.0,68.0
1,300,16000,100.0,250,1.0,5.0,1e-05,50.0,0.5,10,100,58.96875,59.35,59.45,73.0,74.0,71.0
1,300,16000,100.0,250,1.0,5.0,1e-05,75.0,0.5,10,100,57.075,57.425,58.36875,75.0,75.0,73.0
1,300,16000,100.0,250,1.0,5.0,1e-05,37.5,0.5,10,100,57.83125,57.95625,58.84375,71.0,70.0,71.0
1,300,16000,100.0,250,1.0,10.0,0.0001,37.5,0.5,10,100,53.40625,53.63125,53.45625,65.0,66.0,67.0
1,300,16000,100.0,250,1.0,10.0,0.0001,50.0,0.5,10,100,54.80625,54.89375,55.1375,67.0,66.0,72.0
1,300,16000,100.0,250,1.0,5.0,0.0001,62.575,0.5,10,100,54.875,55.025,55.50625,71.0,70.0,69.0
1,300,16000,100.0,250,1.0,10.0,1e-05,62.575,0.5,10,100,56.16875,56.75625,57.55,69.0,70.0,76.0
1,400,16000,100.0,250,1.0,1.0,1e-05,87.5,0.5,10,100,56.55625,56.7125,57.13125,73.0,72.0,74.0
1,300,16000,100.0,250,1.0,10.0,0.0001,75.0,0.5,10,100,55.525,55.61875,55.48125,67.0,68.0,69.0
1,300,16000,100.0,250,1.0,10.0,0.0001,62.575,0.5,10,100,55.225,55.35,55.5125,68.0,68.0,71.0
1,300,16000,100.0,250,1.0,10.0,0.001,37.5,0.5,10,100,49.8375,50.24375,49.925,64.0,63.0,69.0
1,400,16000,100.0,250,1.0,1.0,0.0001,62.575,0.5,10,100,50.54375,50.7625,51.13125,63.0,66.0,64.0
1,300,16000,100.0,250,1.0,10.0,1e-05,87.5,0.5,10,100,55.63125,55.5,56.8875,68.0,70.0,69.0
1,400,16000,100.0,250,1.0,1.0,0.0001,37.5,0.5,10,100,46.1125,46.375,46.0625,61.0,61.0,63.0
1,400,16000,100.0,250,1.0,1.0,0.0001,50.0,0.5,10,100,49.65,49.88125,49.61875,64.0,65.0,62.0
1,400,16000,100.0,250,1.0,1.0,0.001,50.0,0.5,10,100,44.5625,44.8,45.73125,62.0,62.0,64.0
1,400,16000,100.0,250,1.0,1.0,1e-05,75.0,0.5,10,100,55.975,56.175,56.575,71.0,72.0,72.0
1,400,16000,100.0,250,1.0,5.0,0.001,75.0,0.5,10,100,51.0375,51.1125,52.76875,63.0,63.0,70.0
