random_seed,n_neurons,n_train,excite,inhib,time,timestep,theta_plus,theta_decay,intensity,progress_interval,update_interval,X_Ae_decay,mean_all_activity,mean_proportion_weighting,max_all_activity,max_proportion_weighting
1,400,60000,100.0,550.0,275,1.0,0.05,1e-07,0.45,10,250,0.0,83.89166666666667,84.15416666666667,94,94
1,625,60000,100.0,450.0,200,1.0,0.05,1e-07,0.45,10,250,0.5,81.5875,81.87916666666666,95,95
2,225,60000,100.0,400.0,350,1.0,0.05,1e-07,0.45,10,250,0.0,83.39166666666667,83.90416666666667,94,94
1,625,60000,100.0,500.0,200,1.0,0.05,1e-07,0.45,10,250,0.0,80.7,80.89583333333333,93,93
1,625,60000,100.0,450.0,200,1.0,0.05,1e-07,0.45,10,250,0.75,81.5875,81.87916666666666,95,95
1,625,60000,100.0,450.0,200,1.0,0.05,1e-07,0.45,10,250,0.25,81.5875,81.87916666666666,95,95
1,225,60000,100.0,550.0,350,1.0,0.05,1e-07,0.45,10,250,0.75,81.30416666666666,81.77083333333333,92,92
2,225,60000,100.0,500.0,200,1.0,0.05,1e-07,0.45,10,250,0.25,81.46666666666667,82.02083333333333,92,92
1,225,60000,100.0,550.0,350,1.0,0.05,1e-07,0.45,10,250,0.5,81.30416666666666,81.77083333333333,92,92
2,100,60000,100.0,400.0,275,1.0,0.05,1e-07,0.45,10,250,0.25,75.69166666666666,76.24166666666666,89,89
1,625,60000,100.0,500.0,200,1.0,0.05,1e-07,0.45,10,250,0.25,80.7,80.89583333333333,93,93
1,225,60000,100.0,400.0,350,1.0,0.05,1e-07,0.45,10,250,0.75,83.675,84.19583333333334,92,93
2,100,60000,100.0,400.0,275,1.0,0.05,1e-07,0.45,10,250,0.0,75.69166666666666,76.24166666666666,89,89
1,100,60000,100.0,500.0,275,1.0,0.05,1e-07,0.45,10,250,0.5,76.55833333333334,77.10833333333333,90,89
2,100,60000,100.0,450.0,275,1.0,0.05,1e-07,0.45,10,250,0.0,75.9125,76.4625,86,86
2,100,60000,100.0,450.0,275,1.0,0.05,1e-07,0.45,10,250,0.75,75.9125,76.4625,86,86
2,100,60000,100.0,450.0,275,1.0,0.05,1e-07,0.45,10,250,0.5,75.9125,76.4625,86,86
1,625,60000,100.0,500.0,200,1.0,0.05,1e-07,0.45,10,250,0.75,80.7,80.89583333333333,93,93
2,100,60000,100.0,400.0,275,1.0,0.05,1e-07,0.45,10,250,0.75,75.69166666666666,76.24166666666666,89,89
2,100,60000,100.0,550.0,275,1.0,0.05,1e-07,0.45,10,250,0.0,76.54166666666667,77.20416666666667,87,87
2,100,60000,100.0,500.0,275,1.0,0.05,1e-07,0.45,10,250,0.5,76.56666666666666,77.25,89,90
1,400,60000,100.0,400.0,200,1.0,0.05,1e-07,0.45,10,250,0.25,83.42083333333333,83.92083333333333,98,98
2,100,60000,100.0,500.0,275,1.0,0.05,1e-07,0.45,10,250,0.0,76.56666666666666,77.25,89,90
1,625,60000,100.0,550.0,200,1.0,0.05,1e-07,0.45,10,250,0.0,80.25833333333334,80.52083333333333,94,93
1,100,60000,100.0,500.0,275,1.0,0.05,1e-07,0.45,10,250,0.25,76.55833333333334,77.10833333333333,90,89
1,100,60000,100.0,400.0,275,1.0,0.05,1e-07,0.45,10,250,0.25,76.04166666666667,76.46666666666667,87,89
1,100,60000,100.0,450.0,275,1.0,0.05,1e-07,0.45,10,250,0.75,76.73333333333333,77.30416666666666,90,90
1,100,60000,100.0,550.0,275,1.0,0.05,1e-07,0.45,10,250,0.75,76.65416666666667,77.62916666666666,89,90
2,100,60000,100.0,500.0,275,1.0,0.05,1e-07,0.45,10,250,0.25,76.56666666666666,77.25,89,90
1,100,60000,100.0,450.0,275,1.0,0.05,1e-07,0.45,10,250,0.0,76.73333333333333,77.30416666666666,90,90
1,100,60000,100.0,500.0,275,1.0,0.05,1e-07,0.45,10,250,0.75,76.55833333333334,77.10833333333333,90,89
