random_seed,kernel_size,stride,n_filters,n_train,inhib,time,timestep,theta_plus,theta_decay,intensity,progress_interval,update_interval,mean_all_activity,mean_proportion_weighting,max_all_activity,max_proportion_weighting
5,14,4,144,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,86.5125,86.95833333333333,95,96
4,16,4,169,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,87.32083333333334,87.82083333333334,96,96
1,24,4,225,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,84.23333333333333,85.20833333333333,95,95
2,12,4,144,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,80.99166666666666,81.67083333333333,96,96
1,26,2,225,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,83.85,84.39583333333333,97,98
2,22,4,64,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,81.1125,81.66666666666667,91,91
1,16,4,169,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,82.20833333333333,82.51666666666667,96,95
1,14,4,196,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,83.21666666666667,83.625,96,96
2,22,4,100,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,83.97083333333333,84.46666666666667,94,95
2,22,4,121,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,84.89583333333333,85.4125,95,96
2,22,4,81,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,82.5125,83.08333333333333,93,92
1,20,4,225,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,88.05416666666666,88.35,98,98
2,14,4,225,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,83.05,83.6375,94,94
1,20,2,81,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,81.27083333333333,81.22916666666667,93,92
4,14,4,169,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,86.99166666666666,87.45416666666667,97,96
2,20,4,81,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,83.55833333333334,83.66666666666667,95,93
2,24,4,64,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,78.97083333333333,79.49166666666666,88,89
1,24,2,169,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,85.64166666666667,86.00416666666666,97,97
2,22,4,144,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,85.79583333333333,86.31666666666666,96,95
1,22,4,225,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,85.60833333333333,86.31666666666666,95,96
2,18,2,81,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,80.69583333333334,80.59166666666667,93,92
3,14,4,169,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,86.84166666666667,87.24583333333334,97,96
2,24,2,64,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,78.60833333333333,78.93333333333334,87,88
2,20,4,100,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,84.375,84.65833333333333,94,94
2,20,4,121,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,85.39166666666667,85.6375,97,96
5,12,4,121,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,84.36666666666666,85.22916666666667,96,96
2,20,4,64,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,81.6,81.87916666666666,91,92
1,12,4,121,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,80.46666666666667,81.16666666666667,94,94
2,26,2,81,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,81.40416666666667,82.05833333333334,94,94
2,26,4,64,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,78.65,78.72916666666667,90,90
1,18,2,81,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,77.33333333333333,76.82083333333334,89,88
2,26,4,81,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,75.65416666666667,75.75,86,86
1,22,2,121,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,84.925,84.95833333333333,96,94
2,26,4,100,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,80.86666666666666,80.95416666666667,94,94
2,14,4,196,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,83.2625,83.5625,96,96
2,26,2,64,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,78.97083333333333,79.72083333333333,91,91
2,24,4,121,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,83.54166666666667,84.21666666666667,93,94
2,24,4,100,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,82.82916666666667,83.52083333333333,92,93
2,26,4,144,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,78.11666666666666,78.27083333333333,92,92
2,22,4,169,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,85.69166666666666,86.50833333333334,93,96
2,26,4,196,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,78.7375,78.89166666666667,91,91
2,26,4,121,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,79.73333333333333,79.8625,92,92
2,26,4,169,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,78.52083333333333,78.67083333333333,94,94
2,22,4,225,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,86.19583333333334,86.85833333333333,96,96
2,24,4,144,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,84.02916666666667,84.75833333333334,94,94
2,16,4,169,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,87.30416666666666,87.72083333333333,96,96
2,24,4,81,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,82.14583333333333,82.68333333333334,92,92
2,26,2,100,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,82.86666666666666,83.24583333333334,93,93
1,14,4,225,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,82.97083333333333,83.48333333333333,96,96
4,12,4,100,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,83.6375,84.2875,97,96
5,16,2,64,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,78.7625,78.20833333333333,94,91
1,24,2,144,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,85.9625,86.09583333333333,96,96
5,14,4,169,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,86.93333333333334,87.39166666666667,96,96
2,26,2,144,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,84.5125,84.9375,95,95
2,26,2,121,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,84.07083333333334,84.71666666666667,96,95
1,16,4,196,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,82.79583333333333,83.36666666666666,94,94
2,26,4,225,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,78.79583333333333,79.00416666666666,90,90
2,22,4,196,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,85.49583333333334,86.30416666666666,97,98
2,24,2,81,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,82.43333333333334,82.65,92,92
4,14,4,196,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,87.43333333333334,87.975,98,97
