random_seed,n_neurons,n_train,inhib,time,timestep,theta_plus,theta_decay,intensity,norm,progress_interval,update_interval,mean_all_activity,mean_proportion_weighting,mean_ngram,max_all_activity,max_proportion_weighting,max_ngram
0,500,60000,250.0,250,1.0,0.5,1e-06,0.5,125.0,10,250,65.05,65.38,65.064995,73.6,73.6,73.6
0,500,60000,250.0,250,1.0,0.05,1e-06,0.5,125.0,10,250,53.711666,53.966667,54.341667,63.6,63.6,66.399994
0,500,60000,250.0,250,1.0,0.5,1e-07,0.5,150.0,10,250,57.821667,58.015,59.668335,73.6,72.799995,72.399994
0,500,60000,250.0,250,1.0,0.1,1e-05,0.5,150.0,10,250,47.02833,47.45333,48.178337,62.4,63.6,62.0
0,500,60000,250.0,250,1.0,0.1,1e-06,0.5,100.0,10,250,56.298332,56.41,56.363335,72.399994,72.399994,70.4
0,500,60000,250.0,250,1.0,0.5,1e-07,0.5,100.0,10,250,58.975,59.193336,61.791668,74.0,74.4,72.799995
0,500,60000,250.0,250,1.0,0.05,1e-06,0.5,100.0,10,250,51.40167,51.616665,51.63833,67.6,67.6,68.0
0,600,60000,250.0,250,1.0,0.5,1e-06,0.5,100.0,10,250,64.55334,64.65666,64.33667,76.4,76.4,76.0
0,600,60000,250.0,250,1.0,0.1,1e-05,0.5,125.0,10,250,44.51167,44.885002,45.451668,62.4,63.6,62.800003
0,500,60000,250.0,250,1.0,0.05,1e-07,0.5,150.0,10,250,55.94833,56.075,57.571663,74.8,74.8,74.8
0,400,60000,250.0,250,1.0,1.0,1e-07,0.5,150.0,10,250,53.705,53.616665,56.515,66.399994,67.2,67.6
0,500,60000,250.0,250,1.0,0.05,1e-05,0.5,125.0,10,250,42.34667,42.941666,43.89,57.6,57.200005,58.0
0,500,60000,250.0,250,1.0,0.1,1e-05,0.5,100.0,10,250,42.495003,42.785,43.348335,60.8,60.399998,60.000004
0,500,60000,250.0,250,1.0,0.05,1e-07,0.5,125.0,10,250,60.02833,60.17667,60.31333,73.6,73.2,74.0
